,0,1,2,3,4,5,6
BALANCE,-0.037706094477194634,0.7999506249409655,-0.1851158544194123,-0.24158653044504474,-0.0007182740732758387,0.27119515643855074,0.11759404405358001
BALANCE_FREQUENCY,0.15496368888273512,0.36277847621696174,-0.292860045416211,-0.44554763304964046,-0.056277856746710896,-0.25184249029079103,-0.4267927534572615
PURCHASES,0.8818728675420489,0.30997720388377425,0.15838601441479502,-0.03334159724074179,0.13086174613147314,-0.08405331074378715,0.1417281219571953
ONEOFF_PURCHASES,0.7323355032616717,0.3187657110271618,0.407253387458881,-0.10331004925068196,0.0431855885951124,-0.11000177994380837,0.09150623034437008
INSTALLMENTS_PURCHASES,0.7389419057501893,0.1433821748916353,-0.310423492230854,0.09712447449769525,0.19224338545813804,-0.026049199723249282,0.1217451731373798
CASH_ADVANCE,-0.3187405812475911,0.7787972213869995,-0.08042105458647678,0.37578229588388984,-0.1750182823920658,0.05271589428533626,-0.03756936693351791
PURCHASES_FREQUENCY,0.785898343740817,-0.12808882492920337,-0.37438158123392384,0.01897431734423918,-0.322266110520489,-0.0685109516117363,-0.13385911915650148
ONEOFF_PURCHASES_FREQUENCY,0.6525688504612731,0.20446948798236564,0.41286999225445714,-0.1957181906498938,-0.2502839826332809,-0.15596058280064873,-0.1929822120651293
PURCHASES_INSTALLMENTS_FREQUENCY,0.6666381851805516,-0.14526388291892203,-0.6348312616164951,0.1287332011307476,-0.08954059160017909,-0.05595085681932218,-0.06511350617104308
CASH_ADVANCE_FREQUENCY,-0.40739832964022055,0.713773654240163,-0.0887995172776226,0.1650645323037389,-0.15012792931219768,-0.24247254653940054,-0.1438948883509341
CASH_ADVANCE_TRX,-0.3347452213233789,0.7192546262882847,-0.10869200859216618,0.21826582754711624,-0.1959857872746335,-0.16016058847226655,-0.17999409788954224
PURCHASES_TRX,0.8460266071902067,0.2214673025838753,-0.0871278202555688,-0.057368870783677126,0.03761600856737597,-0.12820259520460023,-0.015851165769689535
CREDIT_LIMIT,0.31253106777635364,0.504071847532197,0.13276534734750453,0.17126970218604387,-0.02850107432267595,0.47385882858644507,-0.05400412688192695
PAYMENTS,0.3935865885878729,0.6020569728837065,0.1429939361078808,0.3236742425612932,0.17688518776344897,0.16134692849476504,0.013368066004661987
MINIMUM_PAYMENTS,0.01794392118471426,0.5050408651033774,-0.307448745459902,-0.3374133598387121,0.08030894114932594,0.34166622339565067,0.3343157703500805
PRC_FULL_PAYMENT,0.3694132505846873,-0.27755948601074715,0.05544825912582878,0.4730295488167658,-0.03363888422598571,-0.02460237681951801,-0.1876514750534571
TENURE,0.16307482012537433,0.017565853096072417,-0.021954902276316773,-0.22901813723511094,0.2968789741149955,0.544287305424155,-0.6275544776839996
MON_AVG_PURCHASE,0.8737712094916904,0.30995579222504116,0.16059252272800528,-0.023978933036948695,0.10435398026997496,-0.11376495704258278,0.18040662302936408
MON_AVG_CA_AMT,-0.32338401022108487,0.7518953593932242,-0.07566211983828794,0.3907294921275075,-0.210479311156045,-0.022736418119458077,0.04738338674374976
LIMIT_USAGE,-0.2803517970957639,0.49523737259698447,-0.2663148919307979,-0.5836925834989237,0.11267052869028442,-0.14554160930090285,0.08307931332666899
PAYMENT_RATIO,0.19599403463485598,0.012095113208412668,0.2866425684781003,0.4751344536174779,0.2931128920017007,0.04902904778179343,-0.06746253595833311
P_TYPE_INSTALLMENT,0.05223145890311298,-0.417298647142522,-0.6277506117871569,0.26289441375838846,-0.1396103009069618,0.2360852624232974,0.15596040844276193
P_TYPE_NONE,-0.581859203769544,0.2705079122957649,0.0728359390081285,0.06627319838029803,0.6122949197535428,-0.2561557660263715,-0.031129466950372206
P_TYPE_ONE_OFF,-0.1209526243027076,-0.01471139265985716,0.6303025175300396,-0.2641586698258905,-0.5112012513241887,0.23289884818526352,0.07497428156307341
